Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Alison Riske (14165332),Marin Cilic (14165330),Dusan Lajovic (14165327),50000,0.0798257,0
Tamara Zidansek (14165364),Arantxa Rus (14165362),Jordan Thompson (14165344),Ashleigh Barty (14165317),Roger Federer (14165316),Novak Djokovic (14165314),46300,0.00175501,0
Tatsuma Ito (14165365),Arantxa Rus (14165362),Jordan Thompson (14165344),Ashleigh Barty (14165317),Roger Federer (14165316),Serena Williams (14165315),45900,0.00175501,0
Tamara Zidansek (14165364),Filip Krajinovic (14165363),Jordan Thompson (14165344),Madison Keys (14165318),Ashleigh Barty (14165317),Novak Djokovic (14165314),45600,0.00106584,0
Tatsuma Ito (14165365),Filip Krajinovic (14165363),Jordan Thompson (14165344),Madison Keys (14165318),Ashleigh Barty (14165317),Serena Williams (14165315),45200,0.00106584,0
Tatsuma Ito (14165365),Tamara Zidansek (14165364),Jordan Thompson (14165344),Madison Keys (14165318),Ashleigh Barty (14165317),Roger Federer (14165316),44500,0.000796309,0
Lin Zhu (14165347),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Dusan Lajovic (14165327),Roger Federer (14165316),Serena Williams (14165315),49900,0.0539146,0
Gregoire Barrere (14165348),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Diego Schwartzman (14165321),Madison Keys (14165318),Roger Federer (14165316),50000,0.0517012,0
Benoit Paire (14165349),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Stefanos Tsitsipas (14165320),Madison Keys (14165318),Roger Federer (14165316),50000,0.0505458,0
Tommy Paul (14165350),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Stefanos Tsitsipas (14165320),Madison Keys (14165318),Serena Williams (14165315),50000,0.0471277,0
Greet Minnen (14165351),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),50000,0.0487474,0
Marc Polmans (14165352),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),49900,0.0397676,0
Fiona Ferro (14165353),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),49800,0.0431763,0
Fiona Ferro (14165353),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Novak Djokovic (14165314),50000,0.0431763,0
Nao Hibino (14165354),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Stefanos Tsitsipas (14165320),Roger Federer (14165316),Serena Williams (14165315),50000,0.0396823,0
Cristian Garin (14165355),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),50000,0.0505504,0
Tennys Sandgren (14165356),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49800,0.0415921,0
Tennys Sandgren (14165356),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),50000,0.0415921,0
Barbora Krejcikova (14165357),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0408633,0
Alejandro Davidovich Fokina (14165358),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0349041,0
Philipp Kohlschreiber (14165359),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0279232,0
Michael Mmoh (14165360),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0265261,0
Polona Hercog (14165361),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0246314,0
Arantxa Rus (14165362),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.017242,0
Filip Krajinovic (14165363),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49000,0.0104712,0
Tamara Zidansek (14165364),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),48300,0.00782327,0
Tatsuma Ito (14165365),Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47900,0.00782327,0
Gregoire Barrere (14165348),Lin Zhu (14165347),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Roger Federer (14165316),50000,0.0495026,0
Benoit Paire (14165349),Lin Zhu (14165347),Sorana Cirstea (14165345),Stefanos Tsitsipas (14165320),Madison Keys (14165318),Serena Williams (14165315),50000,0.0464924,0
Tommy Paul (14165350),Lin Zhu (14165347),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),49900,0.0432704,0
Greet Minnen (14165351),Lin Zhu (14165347),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),49800,0.0439683,0
Greet Minnen (14165351),Lin Zhu (14165347),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Novak Djokovic (14165314),50000,0.0439683,0
Marc Polmans (14165352),Lin Zhu (14165347),Sorana Cirstea (14165345),Stefanos Tsitsipas (14165320),Roger Federer (14165316),Serena Williams (14165315),50000,0.0362628,0
Fiona Ferro (14165353),Lin Zhu (14165347),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Roger Federer (14165316),Serena Williams (14165315),50000,0.0400777,0
Nao Hibino (14165354),Lin Zhu (14165347),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),50000,0.0384888,0
Cristian Garin (14165355),Lin Zhu (14165347),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49800,0.0455944,0
Cristian Garin (14165355),Lin Zhu (14165347),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),50000,0.0455944,0
Tennys Sandgren (14165356),Lin Zhu (14165347),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0382567,0
Barbora Krejcikova (14165357),Lin Zhu (14165347),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0368571,0
Alejandro Davidovich Fokina (14165358),Lin Zhu (14165347),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0323992,0
Philipp Kohlschreiber (14165359),Lin Zhu (14165347),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0259193,0
Michael Mmoh (14165360),Lin Zhu (14165347),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0239255,0
Polona Hercog (14165361),Lin Zhu (14165347),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0222166,0
Arantxa Rus (14165362),Lin Zhu (14165347),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49500,0.0155516,0
Filip Krajinovic (14165363),Lin Zhu (14165347),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48800,0.00944463,0
Tamara Zidansek (14165364),Lin Zhu (14165347),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),48100,0.00705628,0
Tatsuma Ito (14165365),Lin Zhu (14165347),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47700,0.00705628,0
Benoit Paire (14165349),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),50000,0.0446977,0
Tommy Paul (14165350),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),49800,0.0408665,0
Tommy Paul (14165350),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Novak Djokovic (14165314),50000,0.0408665,0
Greet Minnen (14165351),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Stefanos Tsitsipas (14165320),Roger Federer (14165316),Serena Williams (14165315),50000,0.0419816,0
Marc Polmans (14165352),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Roger Federer (14165316),Serena Williams (14165315),50000,0.0348629,0
Fiona Ferro (14165353),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),50000,0.0399856,0
Nao Hibino (14165354),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49900,0.0363505,0
Cristian Garin (14165355),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49700,0.0430614,0
Cristian Garin (14165355),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),49900,0.0430614,0
Tennys Sandgren (14165356),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0361313,0
Barbora Krejcikova (14165357),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0348095,0
Alejandro Davidovich Fokina (14165358),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0305992,0
Philipp Kohlschreiber (14165359),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0244794,0
Michael Mmoh (14165360),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0225963,0
Polona Hercog (14165361),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49600,0.0209823,0
Arantxa Rus (14165362),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49400,0.0146876,0
Filip Krajinovic (14165363),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48700,0.00891993,0
Tamara Zidansek (14165364),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),48000,0.00666427,0
Tatsuma Ito (14165365),Gregoire Barrere (14165348),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47600,0.00666427,0
Tommy Paul (14165350),Benoit Paire (14165349),Sorana Cirstea (14165345),Stefanos Tsitsipas (14165320),Roger Federer (14165316),Serena Williams (14165315),50000,0.0387331,0
Greet Minnen (14165351),Benoit Paire (14165349),Sorana Cirstea (14165345),Roberto Bautista-Agut (14165319),Roger Federer (14165316),Serena Williams (14165315),50000,0.0400643,0
Marc Polmans (14165352),Benoit Paire (14165349),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),50000,0.034527,0
Fiona Ferro (14165353),Benoit Paire (14165349),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49900,0.0374865,0
Nao Hibino (14165354),Benoit Paire (14165349),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49800,0.0340786,0
Nao Hibino (14165354),Benoit Paire (14165349),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),50000,0.0340786,0
Cristian Garin (14165355),Benoit Paire (14165349),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0411689,0
Tennys Sandgren (14165356),Benoit Paire (14165349),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0338731,0
Barbora Krejcikova (14165357),Benoit Paire (14165349),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0335845,0
Alejandro Davidovich Fokina (14165358),Benoit Paire (14165349),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0286867,0
Philipp Kohlschreiber (14165359),Benoit Paire (14165349),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0229494,0
Michael Mmoh (14165360),Benoit Paire (14165349),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49600,0.0211841,0
Polona Hercog (14165361),Benoit Paire (14165349),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49500,0.0196709,0
Arantxa Rus (14165362),Benoit Paire (14165349),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49300,0.0137696,0
Filip Krajinovic (14165363),Benoit Paire (14165349),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48600,0.00836243,0
Tamara Zidansek (14165364),Benoit Paire (14165349),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47900,0.00624775,0
Tatsuma Ito (14165365),Benoit Paire (14165349),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47500,0.00624775,0
Greet Minnen (14165351),Tommy Paul (14165350),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49900,0.0386958,0
Marc Polmans (14165352),Tommy Paul (14165350),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49800,0.0315676,0
Marc Polmans (14165352),Tommy Paul (14165350),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),50000,0.0315676,0
Fiona Ferro (14165353),Tommy Paul (14165350),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49700,0.0342734,0
Fiona Ferro (14165353),Tommy Paul (14165350),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),49900,0.0342734,0
Nao Hibino (14165354),Tommy Paul (14165350),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0317741,0
Cristian Garin (14165355),Tommy Paul (14165350),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0376401,0
Tennys Sandgren (14165356),Tommy Paul (14165350),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0318719,0
Barbora Krejcikova (14165357),Tommy Paul (14165350),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0307058,0
Alejandro Davidovich Fokina (14165358),Tommy Paul (14165350),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49600,0.0262279,0
Philipp Kohlschreiber (14165359),Tommy Paul (14165350),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49500,0.0209823,0
Michael Mmoh (14165360),Tommy Paul (14165350),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49400,0.0193683,0
Polona Hercog (14165361),Tommy Paul (14165350),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49300,0.0179848,0
Arantxa Rus (14165362),Tommy Paul (14165350),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49100,0.0125894,0
Filip Krajinovic (14165363),Tommy Paul (14165350),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48400,0.00764565,0
Tamara Zidansek (14165364),Tommy Paul (14165350),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47700,0.00571223,0
Tatsuma Ito (14165365),Tommy Paul (14165350),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47300,0.00571223,0
Marc Polmans (14165352),Greet Minnen (14165351),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49700,0.0320767,0
Marc Polmans (14165352),Greet Minnen (14165351),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),49900,0.0320767,0
Fiona Ferro (14165353),Greet Minnen (14165351),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0355153,0
Nao Hibino (14165354),Greet Minnen (14165351),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0322866,0
Cristian Garin (14165355),Greet Minnen (14165351),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0382472,0
Tennys Sandgren (14165356),Greet Minnen (14165351),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0323859,0
Barbora Krejcikova (14165357),Greet Minnen (14165351),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0312011,0
Alejandro Davidovich Fokina (14165358),Greet Minnen (14165351),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49500,0.0266509,0
Philipp Kohlschreiber (14165359),Greet Minnen (14165351),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49400,0.0213207,0
Michael Mmoh (14165360),Greet Minnen (14165351),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49300,0.0196807,0
Polona Hercog (14165361),Greet Minnen (14165351),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49200,0.0182749,0
Arantxa Rus (14165362),Greet Minnen (14165351),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49000,0.0127924,0
Filip Krajinovic (14165363),Greet Minnen (14165351),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48300,0.00776897,0
Tamara Zidansek (14165364),Greet Minnen (14165351),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47600,0.00580436,0
Tatsuma Ito (14165365),Greet Minnen (14165351),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47200,0.00580436,0
Fiona Ferro (14165353),Marc Polmans (14165352),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.028973,0
Nao Hibino (14165354),Marc Polmans (14165352),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0263391,0
Cristian Garin (14165355),Marc Polmans (14165352),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0321106,0
Tennys Sandgren (14165356),Marc Polmans (14165352),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0264201,0
Barbora Krejcikova (14165357),Marc Polmans (14165352),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49600,0.0254535,0
Alejandro Davidovich Fokina (14165358),Marc Polmans (14165352),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49400,0.0217415,0
Philipp Kohlschreiber (14165359),Marc Polmans (14165352),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49300,0.0173932,0
Michael Mmoh (14165360),Marc Polmans (14165352),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49200,0.0160553,0
Polona Hercog (14165361),Marc Polmans (14165352),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49100,0.0149085,0
Arantxa Rus (14165362),Marc Polmans (14165352),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48900,0.0104359,0
Filip Krajinovic (14165363),Marc Polmans (14165352),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48200,0.00633784,0
Tamara Zidansek (14165364),Marc Polmans (14165352),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47500,0.00473514,0
Tatsuma Ito (14165365),Marc Polmans (14165352),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47100,0.00473514,0
Nao Hibino (14165354),Fiona Ferro (14165353),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0285967,0
Cristian Garin (14165355),Fiona Ferro (14165353),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0348629,0
Tennys Sandgren (14165356),Fiona Ferro (14165353),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0286847,0
Barbora Krejcikova (14165357),Fiona Ferro (14165353),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49500,0.0276352,0
Alejandro Davidovich Fokina (14165358),Fiona Ferro (14165353),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49300,0.0236051,0
Philipp Kohlschreiber (14165359),Fiona Ferro (14165353),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49200,0.0188841,0
Michael Mmoh (14165360),Fiona Ferro (14165353),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49100,0.0174315,0
Polona Hercog (14165361),Fiona Ferro (14165353),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49000,0.0161864,0
Arantxa Rus (14165362),Fiona Ferro (14165353),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48800,0.0113304,0
Filip Krajinovic (14165363),Fiona Ferro (14165353),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48100,0.00688109,0
Tamara Zidansek (14165364),Fiona Ferro (14165353),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47400,0.00514101,0
Tatsuma Ito (14165365),Fiona Ferro (14165353),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47000,0.00514101,0
Cristian Garin (14165355),Nao Hibino (14165354),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0316936,0
Tennys Sandgren (14165356),Nao Hibino (14165354),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49600,0.026077,0
Barbora Krejcikova (14165357),Nao Hibino (14165354),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49400,0.0251229,0
Alejandro Davidovich Fokina (14165358),Nao Hibino (14165354),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49200,0.0214592,0
Philipp Kohlschreiber (14165359),Nao Hibino (14165354),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49100,0.0171673,0
Michael Mmoh (14165360),Nao Hibino (14165354),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49000,0.0158468,0
Polona Hercog (14165361),Nao Hibino (14165354),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48900,0.0147149,0
Arantxa Rus (14165362),Nao Hibino (14165354),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48700,0.0103004,0
Filip Krajinovic (14165363),Nao Hibino (14165354),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48000,0.00625553,0
Tamara Zidansek (14165364),Nao Hibino (14165354),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47300,0.00467364,0
Tatsuma Ito (14165365),Nao Hibino (14165354),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),46900,0.00467364,0
Tennys Sandgren (14165356),Cristian Garin (14165355),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49400,0.0308912,0
Barbora Krejcikova (14165357),Cristian Garin (14165355),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49200,0.029761,0
Alejandro Davidovich Fokina (14165358),Cristian Garin (14165355),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49000,0.0254209,0
Philipp Kohlschreiber (14165359),Cristian Garin (14165355),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48900,0.0203367,0
Michael Mmoh (14165360),Cristian Garin (14165355),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48800,0.0187723,0
Polona Hercog (14165361),Cristian Garin (14165355),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48700,0.0174315,0
Arantxa Rus (14165362),Cristian Garin (14165355),Sorana Cirstea (14165345),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48500,0.012202,0
Filip Krajinovic (14165363),Cristian Garin (14165355),Sorana Cirstea (14165345),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),47800,0.0074104,0
Tamara Zidansek (14165364),Cristian Garin (14165355),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47100,0.00553647,0
Tatsuma Ito (14165365),Cristian Garin (14165355),Sorana Cirstea (14165345),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),46700,0.00553647,0
